"","id_dataset","descrip","fields.calle","n_robos","ruta_corre","fields.alcaldiahechos"
"1","325_1_2_3_4","RUTA 115 RUTA 115 METRO CUATRO CAMINO - METRO GARIBALDI POR FLORES MAGON","CALZADA MEXICO TACUBA",23,"RUTA 115_1_2_3_4","MIGUEL HIDALGO"
"2","751_1_2_3_4_5_6_7_8","RUTA 1 001 Pe?on RCA V?ctor Cuitl?huac","MANUEL GONZALEZ",10,"RUTA 1_1_2_3_4_5_6_7_8","CUAUHTEMOC"
"3","492_1_2_3_4_5_6","Ruta 18 Ruta 18.13","AVENIDA CENTENARIO",46,"RUTA 18_1_2_3_4_5_6","GUSTAVO A MADERO"
"4","1011_1_2_3_4_5_6","RUTA 2 002 AZCAPOTZALCO - LA RAZA","PINO",13,"RUTA 2_1_2_3_4_5_6","AZCAPOTZALCO"
"5","270_1_2_3_4_5_6_7_8_9_10_11","RUTA 112 Ruta112 Ramal  46 Oasis - Metro Observatorio","EJE 6 SUR PLAYA PIE DE LA CUESTA",7,"RUTA 112_1_2_3_4_5_6_7_8_9_10_11","BENITO JUAREZ"
"6","1127_1_2_3_4_5","RUTA 33 RAMAL RUTA 33 FUEGO NUEVO METRO TAXQUE?A","AVENIDA TAXQUEÃ‘A",18,"RUTA 33_1_2_3_4_5","COYOACAN"
"7","1513_1_2_3_4_5_6_7","RUTA 5 005 TACUBAYA - CILANTRO","CAMINO REAL A TOLUCA",12,"RUTA 5_1_2_3_4_5_6_7","ALVARO OBREGON"
"8","1319_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15","RUTA 44 R-44 TAXQUE?A - TULYEHUALCO","AVENIDA TLAHUAC",17,"RUTA 44_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15","TLAHUAC"
"9","1400_1_2_3_4_5","RUTA 50 Ruta 50","MORELOS",2,"RUTA 50_1_2_3_4_5","MILPA ALTA"
"10","1439_1_2_3_4_5_6_7_8_9_10_11_12","RUTA 53 R-53 VIADUCTO CABEZA DE JUAREZ","AVENIDA UNIVERSIDAD",77,"RUTA 53_1_2_3_4_5_6_7_8_9_10_11_12","IZTAPALAPA"
"11","2137_1_2_3_4_5_6_7","ruta 95 RUTA 95 METRO C.U. - PARADERO ESTADIO AZTECA","CALZADA DE TLALPAN",13,"RUTA 95_1_2_3_4_5_6_7","TLALPAN"
"12","308_1_2_3_4_5_6_7_8_9_10_11_12_13_14","RUTA 112 Ruta 112 Ramal 57 BR  Santa Catarina  - Metro Universidad","ANILLO PERIFERICO",15,"RUTA 112_1_2_3_4_5_6_7_8_9_10_11_12_13_14","XOCHIMILCO"
"13","232_1_2_3_4_5_6_7_8_9_10_11_12_13_14","RUTA 108 R-108 PENITENCIARIA - PERIFERICO","FRANCISCO DEL PASO Y TRONCOSO",38,"RUTA 108_1_2_3_4_5_6_7_8_9_10_11_12_13_14","IZTACALCO"
"14","401_1_2_3_4","RUTA 11 RUTA 11  EJE 5 Y EJE 6 SUR - METRO PINO SUAREZ","AV. FRANCISCO DEL PASO Y TRONCOSO",16,"RUTA 11_1_2_3_4","VENUSTIANO CARRANZA"
"15","262_1_2_3_4_5_6_7_8_9_10_11_12_13","RUTA 111 RUTA 111 METRO TAXQUE?A  -  CONTRERAS ANZALDO","CAMINO A SANTA TERESA",6,"RUTA 111_1_2_3_4_5_6_7_8_9_10_11_12_13","LA MAGDALENA CONTRERAS"
"16","1356_1_2_3_4_5_6","RUTA 4 004 Tacubaya Santiago Yancuitlalpan","CARRETERA FEDERAL MEXICO TOLUCA",4,"RUTA 4_1_2_3_4_5_6","CUAJIMALPA DE MORELOS"
